CruiseDate,Depth,Lat,Lon,Species,NumberOfIndividuals,TotalWeight,Commercial,Season
10/27/2013,40,31.69915,34.45123333,Saurida undosquamis,163,10540,Commercial,autumn
10/27/2013,40,31.69915,34.45123333,Boops boops,183,6130,Commercial,autumn
10/27/2013,40,31.69915,34.45123333,Scomberomorus commerson,41,3640,Commercial,autumn
10/27/2013,40,31.69915,34.45123333,Dussumieria elopsoides,66,1044.9,NonCommercial,autumn
10/27/2013,40,31.69915,34.45123333,Scomber japonicus,11,518.6,Commercial,autumn
10/27/2013,40,31.69915,34.45123333,Trachurus mediterraneus,13,345.6,Commercial,autumn
10/27/2013,40,31.69915,34.45123333,Sardinella aurita,39,1196.7,Commercial,autumn
10/27/2013,40,31.69915,34.45123333,Apogon fasciatus,66,575.7,NonCommercial,autumn
10/27/2013,40,31.69915,34.45123333,Sillago sihama,4,160.8,Commercial,autumn
10/27/2013,40,31.69915,34.45123333,Saurida undosquamis,4,215.1,Commercial,autumn
10/27/2013,40,31.69915,34.45123333,Spicara maena,1,6.2,Commercial,autumn
10/27/2013,40,31.69915,34.45123333,Alepes djedaba,1,70.9,Commercial,autumn
10/27/2013,40,31.69915,34.45123333,Upeneus moluccensis,45,168.5,Commercial,autumn
10/27/2013,40,31.69915,34.45123333,Citharus linguatula,20,283.8,NonCommercial,autumn
10/27/2013,40,31.69915,34.45123333,Boops boops,3,42.8,Commercial,autumn
10/27/2013,40,31.69915,34.45123333,Scomberomorus commerson,2,19.2,Commercial,autumn
10/27/2013,40,31.69915,34.45123333,Pagellus erythrinus,2,30,Commercial,autumn
10/27/2013,40,31.69915,34.45123333,Diplodus sargus,1,19.2,Commercial,autumn
